Description,Price,Rate,Review Counts,URL,Image
"200W USB C Charger, 8-Port Desktop USB C Charging Station, 65W USB C Laptop Charger Compatible with MacBook Pro/Air,iPad Series,iPhone 14/13/Mini/Pro/13Pro Max/12 Samsung Galaxy Note",$79.99,,,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A097400417RGGWEGEUKFY&qualifier=1672898411&id=5745866307695524&widgetName=sp_btf&url=%2FCharger-Desktop-Charging-Station-Compatible%2Fdp%2FB0BPFCRT8K%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dlaptop%2Bcharger%26qid%3D1672898411%26sr%3D8-22-spons%26psc%3D1,https://m.media-amazon.com/images/I/613p9SHBZHL._AC_UY218_.jpg
"NANAMI 100W USB C Desktop Charger - 4-Port USB Charging Station PD Fast Charger Block Type C Power Adapter for MacBook Pro/Air, iPad, Laptop, Dell XPS,iPhone 14/13/12, Samsung Galaxy S22/S21,Pixel",$76.99,4.3 out of 5 stars,,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A06003221DGVOJGME6KWZ&qualifier=1672898417&id=4249455180126652&widgetName=sp_atf_next&url=%2FNANAMI-100W-USB-Desktop-Charger%2Fdp%2FB0B62JKDP5%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dlaptop%2Bcharger%26qid%3D1672898417%26sr%3D8-17-spons%26psc%3D1,https://m.media-amazon.com/images/I/51XIEl7iZLL._AC_UY218_.jpg
100W Laptop Charger for ASUS ROG: A20-100P1A 20V 5A Type-C USB-C AC Adapter Power Supply for ASUS ROG Flow X13 Z13 GV301 GZ301 G533QM GA401QM GA503QM GX703HS ZenBook 14X 14 UX425QA UM425QA UM5401QA,$63.99,2.9 out of 5 stars,,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A02855873KMM1KYZ52WJ9&qualifier=1672898417&id=4249455180126652&widgetName=sp_atf_next&url=%2F100W-Laptop-Charger-ASUS-ROG%2Fdp%2FB0BBZHNMV8%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dlaptop%2Bcharger%26qid%3D1672898417%26sr%3D8-18-spons%26psc%3D1,https://m.media-amazon.com/images/I/61CVYxJ09kL._AC_UY218_.jpg
65W 45W USB C Laptop Charger Replacement for Lenovo Chromebook 100e 300e 500e C330 S330 ThinkPad T480 T480s T580 T580s E480 E580 Yoga A485 T490S T590 C930 Type C AC Adapter Power Supply Cord,$15.99,3.2 out of 5 stars,,https://www.amazon.com//Charger-Replacement-Chromebook-ThinkPad-Adapter/dp/B0BF93GWLH/ref=sr_1_19?keywords=laptop+charger&qid=1672898417&sr=8-19,https://m.media-amazon.com/images/I/61K2+3oV4KL._AC_UY218_.jpg
USB-C 65W 45W AC Replacement Charger fit for Lenovo ThinkPad T480 T490 T580 ADLX65YDC2A ADLX65YLC2D ADLX65YDC3A ADLX65YDC2D chromebook 2nd Gen S330 65W Laptop Power Supply Adapter Cord,$19.59,4.6 out of 5 stars,,https://www.amazon.com//Replacement-ADLX65YDC2A-ADLX65YLC2D-ADLX65YDC3A-ADLX65YDC2D/dp/B08R67QLTM/ref=sr_1_20?keywords=laptop+charger&qid=1672898417&sr=8-20,https://m.media-amazon.com/images/I/51n75hnuaCS._AC_UY218_.jpg
65W 45W 33W Charger for Asus Laptop Charger VivoBook ZenBook Chromebook x551m x540s c202s Laptop Notebook Replacement Power Supply Adapter (See More Models as Listed),$14.95,4.4 out of 5 stars,,https://www.amazon.com//Charger-VivoBook-Chromebook-Notebook-Replacement/dp/B09B3HNFJZ/ref=sr_1_21?keywords=laptop+charger&qid=1672898417&sr=8-21,https://m.media-amazon.com/images/I/61T4EDixIeL._AC_UY218_.jpg
"Dell Slim USB-C Laptop Charger - 130-Watt Type-C Power Adapter, 1 Meter Cord, OEM Components - Black",$66.99,3.9 out of 5 stars,,https://www.amazon.com//Dell-Slim-USB-C-Laptop-Charger/dp/B09W7R9KV2/ref=sr_1_22?keywords=laptop+charger&qid=1672898417&sr=8-22,https://m.media-amazon.com/images/I/91yBTWMFOfL._AC_UY218_.jpg
"Universal 45W Type C USB C Chromebook Charger USB-C Laptop Replacement for Acer Chromebook Spin CP CB 311 315 11 13 15 713 715,Lenovo HP Samsung Google Asus Dell Chromebook Charger, Power Cord Adapter",$9.88,4.5 out of 5 stars,,https://www.amazon.com//Universal-Replacement-Chromebook-Latitude-Thinkpad/dp/B09C89L278/ref=sr_1_23?keywords=laptop+charger&qid=1672898417&sr=8-23,https://m.media-amazon.com/images/I/610ObPjydQL._AC_UY218_.jpg
45W 19.5V 2.31A AC Adapter Laptop Charger for Dell Inspiron 11 13 14 17 15 3000 5000 7000 Series Inspiron 3147 3168 5378 7348 7352 7353 7378 3558 3567 5555 5559 7558 5755 5759 Power Supply Cord,$11.97,4.4 out of 5 stars,,https://www.amazon.com//Inspiron-Latitude-Optiplex-LA45NM140-HA45NM140/dp/B07KS1MY35/ref=sr_1_24?keywords=laptop+charger&qid=1672898417&sr=8-24,https://m.media-amazon.com/images/I/71lhWevjsfL._AC_UY218_.jpg
"Universal Chromebook Charger USB C for 65W 45W Hp USB-C Laptop Charger,Replacement for Lenovo Thinkpad/Yoga,Dell Chromebook 3100,Latitude 5420,Asus,Samsung,Acer,Google Series Type C Power Adapter Cord",$13.99,4.4 out of 5 stars,,https://www.amazon.com//Universal-Laptop-Charger-laptops-Chargeable/dp/B09688VRYZ/ref=sr_1_25?keywords=laptop+charger&qid=1672898417&sr=8-25,https://m.media-amazon.com/images/I/61O7kywEQRL._AC_UY218_.jpg
65w 45w USB-C Type C Laptop Charger Replacement for Dell Latitude 7275 7370 5420 5285 5290 5520 XPS 13 9250 9360 9365 9370 9380 9350 9550 Chromebook 3100 3400 5190 la65nm170 02YK0F Adapter Power Cord,$21.99,4.5 out of 5 stars,,https://www.amazon.com//Charger-Replacement-Latitude-Chromebook-la65nm170/dp/B09PL8KVXN/ref=sr_1_26?keywords=laptop+charger&qid=1672898417&sr=8-26,https://m.media-amazon.com/images/I/61dPGYMg7IL._AC_UY218_.jpg
SlimQ 240W AC Gaming Laptop Charger DC Adapter Power Brick Desktop Charger 2 Type C Multiport GaN Travel Station Block Super GaN Fast Charger for DELL HP MSI Razer Lenovo Asus Sony Acer Toshiba,$108.99,3.8 out of 5 stars,,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A09926727YSBOTZPR3WS&qualifier=1672898417&id=4249455180126652&widgetName=sp_mtf&url=%2FSlimQ-Adapter-Type-C-Charger-Toshiba%2Fdp%2FB0921B5TTW%2Fref%3Dsr_1_27_sspa%3Fkeywords%3Dlaptop%2Bcharger%26qid%3D1672898417%26sr%3D8-27-spons%26psc%3D1,https://m.media-amazon.com/images/I/71nljw2XUrL._AC_UY218_.jpg
"UGREEN 100W USB C Charger, Nexode 4 Ports GaN PD Fast Wall Charger Power Adapter Compatible with MacBook, iPad, iPhone 14/14 Plus/14 Pro/14 Pro Max/13/12 Series, Galaxy S22/S21, Steam Deck and More",$79.99,4.6 out of 5 stars,,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A04090133FUQ7ZMFAZL2H&qualifier=1672898417&id=4249455180126652&widgetName=sp_mtf&url=%2FUGREEN-100W-USB-Multiport-Charger%2Fdp%2FB091Z6JNX4%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Dlaptop%2Bcharger%26qid%3D1672898417%26sr%3D8-28-spons%26psc%3D1,https://m.media-amazon.com/images/I/616odiERxdL._AC_UY218_.jpg
19.5V 3.33A AC Adapter Charger for HP 15-F009WM 15-F023WM 15-F039WM 15-F059WM 15-g073nr F9H92UA 15-g074nr Laptop 4.5/3.0mm Power Supply with Cord,$13.88,4.6 out of 5 stars,,https://www.amazon.com//ELECBRAiN-15-F009WM-15-F023WM-15-F039WM-15-F059WM/dp/B01ARH416Y/ref=sr_1_29?keywords=laptop+charger&qid=1672898417&sr=8-29,https://m.media-amazon.com/images/I/71tbpnY0syL._AC_UY218_.jpg
Charger for Lenovo Laptop Charger - 65W 45W,$14.99,4.7 out of 5 stars,,https://www.amazon.com//IdeaPad-Laptop-Charger-Lenovo-Adapter/dp/B08X4M4LBR/ref=sr_1_30?keywords=laptop+charger&qid=1672898417&sr=8-30,https://m.media-amazon.com/images/I/61P9kLCYv8L._AC_UY218_.jpg
65W 45W AC Adapter Laptop Charger for Dell Inspiron 15 3000 5000 7000 Series 3583 3567 3593 3793 5100 5570 5559 5565 5567 5568 5578 7558 7568 7569 7579 Dell Computer Power Supply Cord,$6.99,3.3 out of 5 stars,,https://www.amazon.com//Adapter-Laptop-Charger-Inspiron-Computer/dp/B0B7WNPLMF/ref=sr_1_31?keywords=laptop+charger&qid=1672898417&sr=8-31,https://m.media-amazon.com/images/I/61e7omfBCEL._AC_UY218_.jpg
"Mac Book Pro Charger - 118W USB C Fast Charger Power Adapter for USB C Port MacBook pro & MacBook Air 16 15 14 13 inch, Ipad Pro and All USB C Device, Include Charge Cable（7.2ft/2.2m）",$28.79,4.8 out of 5 stars,,https://www.amazon.com//Mac-Book-Pro-Charger-Cable%EF%BC%887-2ft/dp/B0B1HJ666G/ref=sr_1_32?keywords=laptop+charger&qid=1672898417&sr=8-32,https://m.media-amazon.com/images/I/51QXqomzfdL._AC_UY218_.jpg
"90W Universal Laptop Charger, Anoak AC Power Adapter for HP Samsung Dell Sony Lenovo ASUS Acer Toshiba IBM Fujitsu Gateway Laptop Notebook with 3 USB Ports 16 Tips",$17.99,4.3 out of 5 stars,,https://www.amazon.com//Universal-Charger-Computer-Notebook-Ultrabook/dp/B088D1FN6Y/ref=sr_1_33?keywords=laptop+charger&qid=1672898417&sr=8-33,https://m.media-amazon.com/images/I/71l2o0U243L._AC_UY218_.jpg
"New Lenovo Legion 5 Charger,230W AC Adapter for Lenovo Legion 5 7 5P C7 S7 Y540 Y545 Y740 Y730 Y900 Y910 Y920 Y7000 4X20E75111 GX20L29347 ADL230NDC3A ADL230NLC3A Thinkpad P73 P53 P72 P52 P71 P51 P70",$59.98,4.4 out of 5 stars,,https://www.amazon.com//4X20E75111-GX20L29347-ADL230NDC3A-ADL230NLC3A-Thinkpad/dp/B09NVNQ5LG/ref=sr_1_34?keywords=laptop+charger&qid=1672898417&sr=8-34,https://m.media-amazon.com/images/I/61v0lh7ePbL._AC_UY218_.jpg
"45W USB C Type C Chromebook Charger Laptop Fast Charging Power Adapter, Widely Compatible with HP, Dell, Lenovo, Acer, Asus, Samsung, Google, and More",$10.99,4.4 out of 5 stars,,https://www.amazon.com//45W-Type-Charger-Power-Adapter/dp/B09MFCGJ73/ref=sr_1_35?keywords=laptop+charger&qid=1672898417&sr=8-35,https://m.media-amazon.com/images/I/61qOPdW1qEL._AC_UY218_.jpg
"Mac Book Pro Charger - 120W USB C Charger Power Adapter for MacBook Pro 13, 14, 15, 16 Inch, MacBook Air 13 Inch 2021/2020/2019/2018, iPad Pro and All USB C Device, Included 6.6ft USB-C to C Cable",$35.99,4.7 out of 5 stars,,https://www.amazon.com//Mac-Book-Pro-Charger-Included/dp/B09MY5FF73/ref=sr_1_36?keywords=laptop+charger&qid=1672898417&sr=8-36,https://m.media-amazon.com/images/I/51PjVfbYhhL._AC_UY218_.jpg
"New Genuine Dell Slim Power Adapter - 45-Watt Type-C with Power Cord for Latitude 3390, 5285, 5289, 5290, 7212, 7285, 7370, 7389 - XPS 13 9365 2-in-1 - Chromebook 7486,3100, 3100 2-in-1, 3400",$85.00,,,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A06204101RDYM7L64GWC1&qualifier=1672898417&id=4249455180126652&widgetName=sp_btf&url=%2FGenuine-Dell-Slim-Power-Adapter%2Fdp%2FB0BNGXYF51%2Fref%3Dsr_1_37_sspa%3Fkeywords%3Dlaptop%2Bcharger%26qid%3D1672898417%26sr%3D8-37-spons%26psc%3D1,https://m.media-amazon.com/images/I/31ZNheIJJBL._AC_UY218_.jpg
"HenHot USB C Charger, 100W PD 3.0 Dual GaN II Fast Charger, Type C Wall Charger, Foldable Power Adapter Compatible with MacBook,iPad,ThinkPad, Dell,Samsung, iPhone 13/14 Pro Max, Steam Deck and More",$59.99,4.9 out of 5 stars,,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A084319866EMY5QKPNNQ&qualifier=1672898417&id=4249455180126652&widgetName=sp_btf&url=%2FHenHot-Charger-Foldable-Compatible-ThinkPad%2Fdp%2FB0BKJZF5H7%2Fref%3Dsr_1_38_sspa%3Fkeywords%3Dlaptop%2Bcharger%26qid%3D1672898417%26sr%3D8-38-spons%26psc%3D1,https://m.media-amazon.com/images/I/51P7dzrEguL._AC_UY218_.jpg
